filename,transcription,confidence,speaker
conversation_example/conversation.wav,in,0.96,0
conversation_example/conversation.wav,another,0.99,0
conversation_example/conversation.wav,moment,0.99,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,down,0.98,0
conversation_example/conversation.wav,went,0.9,0
conversation_example/conversation.wav,alice,0.99,0
conversation_example/conversation.wav,after,0.99,0
conversation_example/conversation.wav,it,0.99,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,never,0.99,0
conversation_example/conversation.wav,once,0.96,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,considering,0.99,0
conversation_example/conversation.wav,how,0.99,0
conversation_example/conversation.wav,in,0.99,0
conversation_example/conversation.wav,the,0.99,0
conversation_example/conversation.wav,world,0.99,0
conversation_example/conversation.wav,she,0.99,0
conversation_example/conversation.wav,was,0.97,0
conversation_example/conversation.wav,to,0.99,0
conversation_example/conversation.wav,get,0.99,0
conversation_example/conversation.wav,out,0.99,0
conversation_example/conversation.wav,again,0.99,0
conversation_example/conversation.wav,.,/,0
conversation_example/conversation.wav,the,0.99,1
conversation_example/conversation.wav,rabbit,0.99,1
conversation_example/conversation.wav,hole,0.98,1
conversation_example/conversation.wav,went,0.99,1
conversation_example/conversation.wav,straight,0.99,1
conversation_example/conversation.wav,on,0.99,1
conversation_example/conversation.wav,like,0.99,1
conversation_example/conversation.wav,a,0.99,1
conversation_example/conversation.wav,tunnel,0.99,1
conversation_example/conversation.wav,for,0.99,1
conversation_example/conversation.wav,some,0.99,1
conversation_example/conversation.wav,way,0.98,1
conversation_example/conversation.wav,",",/,1
conversation_example/conversation.wav,and,0.99,1
conversation_example/conversation.wav,then,0.99,1
conversation_example/conversation.wav,div,0.9,1
conversation_example/conversation.wav,suddenly,0.99,1
conversation_example/conversation.wav,down,0.99,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,so,0.99,1
conversation_example/conversation.wav,suddenly,0.99,1
conversation_example/conversation.wav,that,0.99,1
conversation_example/conversation.wav,alice,0.99,1
conversation_example/conversation.wav,had,0.99,1
conversation_example/conversation.wav,not,0.99,1
conversation_example/conversation.wav,a,0.99,1
conversation_example/conversation.wav,moment,0.99,1
conversation_example/conversation.wav,to,0.99,1
conversation_example/conversation.wav,think,0.99,1
conversation_example/conversation.wav,about,0.99,1
conversation_example/conversation.wav,stopping,0.99,1
conversation_example/conversation.wav,herself,0.99,1
conversation_example/conversation.wav,before,0.99,1
conversation_example/conversation.wav,she,0.99,1
conversation_example/conversation.wav,found,0.99,1
conversation_example/conversation.wav,herself,0.99,1
conversation_example/conversation.wav,falling,0.99,1
conversation_example/conversation.wav,down,0.99,1
conversation_example/conversation.wav,a,0.99,1
conversation_example/conversation.wav,very,0.99,1
conversation_example/conversation.wav,deep,0.99,1
conversation_example/conversation.wav,well,0.99,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,either,0.99,0
conversation_example/conversation.wav,the,0.99,0
conversation_example/conversation.wav,wall,0.81,0
conversation_example/conversation.wav,was,0.99,0
conversation_example/conversation.wav,very,0.99,0
conversation_example/conversation.wav,deep,0.99,0
conversation_example/conversation.wav,or,0.99,0
conversation_example/conversation.wav,she,0.99,0
conversation_example/conversation.wav,fell,0.97,0
conversation_example/conversation.wav,very,0.99,0
conversation_example/conversation.wav,slowly,0.99,0
conversation_example/conversation.wav,for,0.88,0
conversation_example/conversation.wav,she,0.99,0
conversation_example/conversation.wav,had,0.99,0
conversation_example/conversation.wav,plenty,0.99,0
conversation_example/conversation.wav,of,0.99,0
conversation_example/conversation.wav,time,0.99,0
conversation_example/conversation.wav,as,0.99,0
conversation_example/conversation.wav,she,0.99,0
conversation_example/conversation.wav,went,0.99,0
conversation_example/conversation.wav,down,0.99,0
conversation_example/conversation.wav,to,0.99,0
conversation_example/conversation.wav,look,0.99,0
conversation_example/conversation.wav,about,0.99,0
conversation_example/conversation.wav,her,0.99,0
conversation_example/conversation.wav,and,0.99,0
conversation_example/conversation.wav,to,0.99,0
conversation_example/conversation.wav,wonder,0.99,0
conversation_example/conversation.wav,what,0.99,0
conversation_example/conversation.wav,was,0.99,0
conversation_example/conversation.wav,going,0.99,0
conversation_example/conversation.wav,to,0.99,0
conversation_example/conversation.wav,happen,0.99,0
conversation_example/conversation.wav,next,0.99,0
conversation_example/conversation.wav,.,/,0
conversation_example/conversation.wav,first,0.99,1
conversation_example/conversation.wav,",",/,1
conversation_example/conversation.wav,she,0.99,1
conversation_example/conversation.wav,tried,0.99,1
conversation_example/conversation.wav,to,0.99,1
conversation_example/conversation.wav,look,0.99,1
conversation_example/conversation.wav,down,0.99,1
conversation_example/conversation.wav,and,0.99,1
conversation_example/conversation.wav,make,0.99,1
conversation_example/conversation.wav,out,0.99,1
conversation_example/conversation.wav,what,0.99,1
conversation_example/conversation.wav,she,0.99,1
conversation_example/conversation.wav,was,0.99,1
conversation_example/conversation.wav,coming,0.99,1
conversation_example/conversation.wav,to,0.99,1
conversation_example/conversation.wav,",",/,1
conversation_example/conversation.wav,but,0.99,1
conversation_example/conversation.wav,it,0.99,1
conversation_example/conversation.wav,was,0.99,1
conversation_example/conversation.wav,too,0.99,1
conversation_example/conversation.wav,dark,0.99,1
conversation_example/conversation.wav,to,0.99,1
conversation_example/conversation.wav,see,0.99,1
conversation_example/conversation.wav,anything,0.99,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,then,0.99,1
conversation_example/conversation.wav,she,0.99,1
conversation_example/conversation.wav,looked,0.99,1
conversation_example/conversation.wav,at,0.99,1
